site, lat, lon, type
Cedarvale Terrace LTC, 43.68550577593615, -79.41266577188435, LTC
Bayview Extendicare LTC, 43.793273976434655, -79.39063022729711, LTC
O'Neill LTC, 43.664800400092616, -79.41850369226114, LTC
UO, 45.422880, -75.683283, University
